date,site,plate-number,variable,value
2022-07-12,vnx,3,turquoise,9
2022-07-12,svt,1,turquoise,0
2022-07-12,svt,2,turquoise,12
2022-07-12,svt,3,turquoise,12
2022-07-12,mrd,1,turquoise,0
2022-07-12,mrd,2,turquoise,4
2022-07-12,mrd,3,turquoise,9
2022-07-14,vnx,1,turquoise,0
2022-07-14,vnx,2,turquoise,1
2022-07-14,vnx,3,turquoise,1
2022-07-14,svt,1,turquoise,0
2022-07-14,svt,2,turquoise,8
2022-07-14,svt,3,turquoise,1
2022-07-14,mrd,1,turquoise,2
2022-07-14,mrd,2,turquoise,12
2022-07-14,mrd,3,turquoise,8
2022-07-18,vnx,1,turquoise,6
2022-07-18,vnx,2,turquoise,nd
2022-07-18,vnx,3,turquoise,nd
2022-07-18,vnx,4,turquoise,32
2022-07-18,vnx,5,turquoise,16
2022-07-18,vnx,6,turquoise,nd
2022-07-18,svt,1,turquoise,0
2022-07-18,svt,2,turquoise,3
2022-07-18,svt,3,turquoise,1
2022-07-18,svt,4,turquoise,1
2022-07-18,svt,5,turquoise,0
2022-07-18,svt,6,turquoise,1
2022-07-18,mrd,1,turquoise,5
2022-07-18,mrd,2,turquoise,0
2022-07-18,mrd,3,turquoise,4
2022-07-18,mrd,4,turquoise,3
2022-07-18,mrd,5,turquoise,1
2022-07-18,mrd,6,turquoise,1
2022-07-25,vnx,1,turquoise,2
2022-07-25,vnx,2,turquoise,10
2022-07-25,vnx,3,turquoise,25
2022-07-25,vnx,4,turquoise,13
2022-07-25,vnx,5,turquoise,2
2022-07-25,vnx,6,turquoise,9
2022-07-25,svt,1,turquoise,14
2022-07-25,svt,2,turquoise,7
2022-07-25,svt,3,turquoise,4
2022-07-25,svt,4,turquoise,3
2022-07-25,svt,5,turquoise,22
2022-07-25,svt,6,turquoise,5
2022-07-25,mrd,1,turquoise,18
2022-07-25,mrd,2,turquoise,22
2022-07-25,mrd,3,turquoise,25
2022-07-25,mrd,4,turquoise,15
2022-07-25,mrd,5,turquoise,18
2022-07-25,mrd,6,turquoise,13
2022-08-01,mrd,4,turquoise,5
2022-08-01,svt,5,turquoise,3
2022-08-01,svt,6,turquoise,14
2022-08-01,svt,3,turquoise,0
2022-08-01,svt,4,turquoise,3
2022-08-01,svt,1,turquoise,8
2022-08-01,svt,2,turquoise,0
2022-08-01,vnx,1,turquoise,2
2022-08-01,vnx,2,turquoise,34
2022-08-01,vnx,3,turquoise,0
2022-08-01,vnx,4,turquoise,2
2022-08-01,vnx,5,turquoise,0
2022-08-01,vnx,6,turquoise,2
2022-08-01,mrd,5,turquoise,0
2022-08-01,mrd,6,turquoise,14
2022-08-01,mrd,3,turquoise,0
2022-08-01,mrd,4,turquoise,15
2022-08-01,mrd,1,turquoise,8
2022-08-01,mrd,2,turquoise,5
2022-09-12,vnx,1,turquoise,0
2022-09-12,vnx,2,turquoise,0
2022-09-12,vnx,3,turquoise,0
2022-09-12,vnx,4,turquoise,0
2022-09-12,vnx,5,turquoise,0
2022-09-12,vnx,6,turquoise,0
2022-09-12,svt,1,turquoise,0
2022-09-12,svt,2,turquoise,0
2022-09-12,svt,3,turquoise,0
2022-09-12,svt,4,turquoise,0
2022-09-12,svt,5,turquoise,0
2022-09-12,svt,6,turquoise,0
2022-09-12,mrd,1,turquoise,2
2022-09-12,mrd,2,turquoise,0
2022-09-12,mrd,3,turquoise,0
2022-09-12,mrd,4,turquoise,2
2022-09-12,mrd,5,turquoise,2
2022-09-12,mrd,6,turquoise,0
